detected_at,change_type,nct_id,changed_fields,previous_status,current_status,previous_last_update_posted_date,current_last_update_posted_date
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT07051525,"phase,first_posted_date,last_update_posted_date",RECRUITING,RECRUITING,,2025-12-15
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT03763825,"phase,first_posted_date,last_update_posted_date",UNKNOWN,UNKNOWN,,2019-05-31
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT04074135,"first_posted_date,last_update_posted_date",RECRUITING,RECRUITING,,2026-04-20
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT06275035,"first_posted_date,last_update_posted_date",RECRUITING,RECRUITING,,2025-04-09
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT03014076,"first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2017-01-09
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT02416908,"first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2020-03-13
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT07038317,"phase,first_posted_date,last_update_posted_date",NOT_YET_RECRUITING,NOT_YET_RECRUITING,,2026-06-12
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT00039117,"first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2015-12-04
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT03900117,"first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2022-10-27
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT00687440,"first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2018-07-03
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT01924689,"first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2019-09-09
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT05628350,"phase,first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2026-01-22
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT06392191,"phase,first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2025-07-01
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT00401674,"first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2016-01-14
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT00006174,"first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2017-07-02
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT03385018,"phase,first_posted_date,last_update_posted_date",RECRUITING,RECRUITING,,2019-03-19
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT00352118,"first_posted_date,last_update_posted_date",TERMINATED,TERMINATED,,2017-12-28
2026-08-05T14:43:07.347729+00:00,UPDATED,NCT03557918,"first_posted_date,last_update_posted_date",COMPLETED,COMPLETED,,2024-07-03
