nct_id,title,condition,phase,sponsor,status,start_date,completion_date,first_posted_date,last_update_posted_date
NCT07051525,Early Versus Late Stopping of Antibiotics in Adults With High-risk Hematological Malignancies/Receiving Cellular Therapies and Fever,Leukemia,NA,"Peter MacCallum Cancer Centre, Australia",RECRUITING,2025-12-03,2028-02-05,2025-07-04,2025-12-15
NCT03763825,Mini-AFTERc Intervention for Fear of Cancer Recurrence,Breast Cancer,NA,University of St Andrews,UNKNOWN,2019-06-13,2020-09-01,2018-12-04,2019-05-31
NCT04074135,Natural History and Management of Von Hippel-Lindau (VHL) Associated Pancreatic Neuroendocrine Tumors,VHL Pancreatic Neuroendocrine Tumors,PHASE2,National Cancer Institute (NCI),RECRUITING,2020-06-02,2036-07-01,2019-08-29,2026-04-20
NCT06275035,Evaluation of Memantine in the Preservation of Memory and Neurocognition Following CSI,Neurocognitive Dysfunction,PHASE3,Tata Memorial Centre,RECRUITING,2024-02-22,2031-01,2024-02-23,2025-04-09
NCT03014076,Immunotherapy Vaccine and Herceptin in Breast Cancer,Breastcancer,PHASE1,"Cancer Insight, LLC",COMPLETED,2008-01,2017-01,2017-01-09,2017-01-09
NCT02416908,Study of CLAG + Selinexor in Relapsed or Refractory Acute Myeloid Leukemia,Acute Myeloid Leukemia,PHASE1,Washington University School of Medicine,COMPLETED,2015-06-16,2019-06-21,2015-04-15,2020-03-13
NCT07038317,A Text Messaging Trial to Test Vaping Health Messages Optimized to Young Adults' Vaping Status,Vaping Behaviors,NA,University of Hawaii,NOT_YET_RECRUITING,2026-06-30,2028-01-31,2025-06-26,2026-06-12
NCT00039117,"Oblimersen, Cytarabine, and Daunorubicin in Treating Older Patients With Acute Myeloid Leukemia",Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities,PHASE1,National Cancer Institute (NCI),COMPLETED,2002-04,,2003-01-27,2015-12-04
NCT03900117,Hypofractionated Radiotherapy Followed by Hypo-boost for Local Advanced NSCLC,Non-small Cell Lung Cancer,PHASE2,Sun Yat-sen University,COMPLETED,2019-03-01,2022-06-20,2019-04-02,2022-10-27
NCT00687440,A Study to Determine the Activity of Caelyx With Trastuzumab and Docetaxel in the Treatment of Metastatic Breast Cancer (Study P03679),Breast Neoplasm,PHASE2,Merck Sharp & Dohme LLC,COMPLETED,2005-07-15,2008-10-24,2008-05-30,2018-07-03
NCT01924689,Safety Study of Intratumoral Injection of Clostridium Novyi-NT Spores to Treat Patients With Solid Tumors That Have Not Responded to Standard Therapies,Solid Tumor Malignancies,PHASE1,"BioMed Valley Discoveries, Inc",COMPLETED,2013-10,2017-10-31,2013-08-16,2019-09-09
NCT05628350,Highly Processed Foods and Vascular Health,Cardiovascular Diseases,NA,Virginia Polytechnic Institute and State University,COMPLETED,2023-07-19,2025-09-30,2022-11-28,2026-01-22
NCT06392191,Comparison of Bupivacaine Liposomal vs Bupivacaine Combined With Dexamethasone for Postoperative Pain in VATS,Thoracic Surgery,NA,Affiliated Hospital of Jiaxing University,COMPLETED,2024-11-10,2025-05-02,2024-04-30,2025-07-01
NCT00401674,MITO-5: Weekly Carboplatin and Paclitaxel as First Line Chemotherapy for Elderly Patients With Ovarian Cancer,Ovarian Cancer,PHASE2,"National Cancer Institute, Naples",COMPLETED,2003-06,2008-06,2006-11-20,2016-01-14
NCT00006174,Effects of Letrozole on Precocious Puberty Due to McCune Albright Syndrome,McCune Albright Syndrome,PHASE1,National Institute of Dental and Craniofacial Research (NIDCR),COMPLETED,2000-08-03,2009-05-18,2000-08-14,2017-07-02
NCT03385018,Trial for Application of Laparoscopic Total Gastrectomy With Lymph Node Dissection for Gastric Cancer (KLASS-06),Gastric Cancer,NA,Yonsei University,RECRUITING,2018-04-05,2027-12-31,2017-12-28,2019-03-19
